ksec_since_2459583.86275419_B	rel_flux_T1_d(mag)	_d(mag)
2.191029000	-0.002125147	0.001299128
2.218041000	0.002839317	0.001293256
2.245037000	-0.000622615	0.001289823
2.272044000	0.004606656	0.001283681
2.299042000	-0.003040165	0.001282627
2.326044000	0.002244697	0.001278986
2.353040000	-0.007114948	0.001328402
2.380028000	0.002286020	0.001322073
2.407039000	-0.005645381	0.001313967
2.434036000	-0.006394135	0.001309825
2.461042000	-0.002443959	0.001302583
2.488038000	-0.005344614	0.001301022
2.515038000	-0.001794083	0.001294291
2.542032000	-0.005126388	0.001290676
2.569038000	-0.005796784	0.001286427
2.596036000	-0.002057629	0.001292231
2.623034000	-0.004821046	0.001326165
2.650039000	-0.007108012	0.001318801
2.677044000	-0.003505685	0.001314494
2.704037000	0.000641617	0.001309544
2.731050000	-0.000653635	0.001306086
2.758046000	0.002946770	0.001299293
2.785034000	0.005158388	0.001296709
2.812044000	0.005650767	0.001291131
2.839043000	0.005116794	0.001286772
2.866044000	-0.007866937	0.001338102
2.893038000	-0.001142033	0.001332448
2.920047000	0.001544472	0.001324149
2.947051000	-0.001731706	0.001318040
2.974045000	-0.002900139	0.001314429
3.002044000	0.002650673	0.001310328
3.029040000	0.000995061	0.001304779
3.056045000	0.005724094	0.001299175
3.083049000	-0.004182306	0.001290745
3.110049000	-0.002032783	0.001288258
3.137041000	-0.007080830	0.001340336
3.164053000	-0.001738873	0.001331285
3.191048000	-0.004883082	0.001327556
3.218051000	-0.008313150	0.001321582
3.245044000	-0.004972378	0.001315040
3.272054000	-0.001585070	0.001308469
3.299050000	-0.002701582	0.001307335
3.326041000	-0.002464349	0.001302024
3.353055000	-0.001910693	0.001298883
3.380050000	0.004328690	0.001288981
3.407054000	-0.000385661	0.001350578
3.434050000	-0.001896919	0.001344893
3.461047000	-0.000463521	0.001335564
3.488056000	-0.000191387	0.001332760
3.515044000	0.003566488	0.001325696
3.542046000	0.000361470	0.001316981
3.569059000	0.009283485	0.001311321
3.596054000	-0.000160594	0.001307589
3.623048000	0.001819673	0.001302742
3.650056000	0.008009514	0.001295413
3.677047000	0.001938547	0.001310359
3.704058000	-0.001206540	0.001349867
3.731058000	-0.002093373	0.001340856
3.758050000	-0.000086909	0.001335915
3.785049000	-0.008385153	0.001333422
3.812060000	-0.001169305	0.001322126
3.839059000	-0.003223879	0.001322154
3.866056000	-0.005533026	0.001317376
3.893057000	-0.004039264	0.001313090
