kSec_B	rel_flux_T1_d(mag)	rel_flux_err_T1_d(mag)
2.975788808	0.016415108	0.001873006
2.99980799	0.01736338	0.002011421
3.023827212	0.003875248	0.002093256
3.047846393	0.006536327	0.002201279
3.071779194	-0.013420036	0.002314089
3.095798416	0.010223211	0.002123355
3.119817598	-0.016482488	0.001880013
3.14383678	-0.017364888	0.001924924
3.167769581	-0.010296181	0.002228464
3.191788803	0.000594996	0.002000046
3.215807985	-0.014570007	0.001956041
3.239740786	0.017729876	0.001751742
3.263760008	0.000562101	0.001800977
3.28777919	-0.011839874	0.001987104
3.311798412	0.001503966	0.002090745
3.335731213	-0.022592371	0.001832503
3.359750395	-0.009957864	0.001761048
3.383769616	-0.017420886	0.001700868
3.407788798	-0.000872347	0.001717898
3.43180798	0.004700101	0.001645335
3.455740781	0.000975681	0.001658096
3.479760003	0.001460829	0.001756861
3.503779185	-0.017886961	0.001969275
3.527798407	0.004185789	0.001965121
3.551731208	-0.016031441	0.002110331
3.57575039	0.020887417	0.002095679
3.599769612	0.009041934	0.001956365
3.623788793	-0.003563388	0.001972053
3.647721595	0.004723264	0.001907482
3.671740817	0.003296811	0.002037675
3.695759998	-0.011729486	0.002066047
3.71977918	-0.000666706	0.001938332
3.743711981	0.000902382	0.00200663
3.767731203	-0.020879923	0.001793376
3.792700812	-0.009500965	0.001925447
3.816719994	-0.002261289	0.001741518
3.840739216	-0.009074635	0.001752474
3.864758398	0.003582473	0.001625774
3.888777579	-0.003537399	0.001600759
3.912710381	-0.0064939	0.001597962
3.936729603	0.006048332	0.001579624
3.960748784	-0.004492804	0.001637908
3.984768006	-0.005150403	0.001703262
4.008700807	-0.000596526	0.00169614
4.032719989	0.001627582	0.001756631
4.056739211	0.00518881	0.001736719
4.080758393	-0.019536506	0.001740462
4.104691194	0.00389918	0.001717511
4.128710416	0.004532308	0.00163146
4.152729598	0.000928493	0.001636882
4.176748779	0.005010159	0.001588236
4.200681581	0.001941742	0.001592729
4.224700803	-0.000179594	0.001830747
4.248719984	-0.001284034	0.001675855
4.272739206	-0.014906462	0.001956731
4.296672007	0.025999323	0.001821915
4.320691189	0.009344111	0.001948827
4.344710411	-0.005225846	0.001789223
4.368729593	0.002533562	0.001662886
4.392662394	-0.007388691	0.001728303
4.416681616	0.010966275	0.001699355
4.440700798	0.002707982	0.001691023
4.464719979	0.003654553	0.001767578
4.488739201	-0.00754873	0.001750066
4.512672003	-0.001270365	0.001853985
4.536691184	-0.004535507	0.001723783
4.560710406	0.017804537	0.001751719
4.584643207	0.00711537	0.001726615
4.608662389	-0.007233645	0.00169225
4.632681611	-0.003786079	0.001644037
4.656700793	-0.004357176	0.001637757
4.680720015	0.001468755	0.001643218
4.704652816	0.006080445	0.001650416
4.728671998	-0.00187246	0.001683932
4.75269118	-0.003142921	0.001671628
4.776623981	-0.012742377	0.001736873
4.800643203	0.015993094	0.001845828
4.824662384	0.001028316	0.001729225
4.848681606	-0.017813413	0.001853522
4.873651215	0.029844883	0.002057835
4.897670397	0.012875413	0.002174591
4.921689579	0.026798814	0.002341245
4.94562238	0.014455069	0.002087191
4.969641602	0.007555021	0.002093422
4.994697592	-0.011374525	0.002173344
5.018716814	-0.02024095	0.002205646
5.042649615	-0.039237163	0.002686992
5.066668797	0.059822569	0.002008601
5.090687978	0.001585201	0.002104967
5.114620779	-0.009100458	0.002161642
5.138640001	0.011353085	0.002276229
5.162659183	0.004298311	0.001922543
5.186678405	-0.0057584	0.001961881
5.210611206	0.015040831	0.002184333
5.234630388	0.003478837	0.00227861
5.25864961	-0.002590844	0.002441109
5.282668792	-0.003447152	0.002336001
5.306601593	0.002139553	0.001926382
5.330620815	-0.00273632	0.002106251
5.354639997	-0.00386455	0.002194122
5.378659178	-0.010040302	0.002343048
5.40259198	0.001099391	0.002482594
5.426611201	0.022747023	0.002189829
5.450630383	-0.010431387	0.002315172
5.474649605	0.017305331	0.001962736
5.498582406	-0.001011452	0.001810903
5.522601588	0.009499649	0.001765253
5.54662081	0.006819652	0.001925203
5.570639992	0.014283598	0.001905004
5.594572793	0.004546476	0.00198593
5.618592015	-0.002024208	0.001876776
5.642611197	0.016453345	0.001866165
5.666630378	0.000661242	0.001772573
5.6906496	0.009164774	0.00168818
5.715619209	0.007744712	0.001753994
5.739638391	0.004307987	0.001653209
5.763571192	0.005487754	0.001616006
5.787590414	-0.014974048	0.001747763
5.811609596	0.000528899	0.001658977
5.836579205	-0.000410293	0.001688897
5.860598387	0.003322017	0.001775356
5.884617609	0.03315843	0.00182392
5.908636791	-0.022690593	0.001876512
5.932569592	-0.019454255	0.0019941
5.956588814	0.019112574	0.001931567
5.980607995	-0.007217715	0.001792674
6.009551995	0.015172702	0.001868411
6.033571216	-0.023336774	0.002139382
6.057590398	0.016433943	0.001782127
6.08160958	-0.008977092	0.001838649
6.105542381	0.014905667	0.001693373
6.129561603	-0.006152133	0.001826724
6.153580785	-0.021202897	0.002135204
6.177600007	-0.010617185	0.002207915
6.201532808	0.005966776	0.001955108
6.22555199	0.007852959	0.001987045
6.249571212	-0.004337675	0.001709354
6.273590393	-0.002676482	0.00169961
6.297609615	0.001113734	0.001963872
6.321542417	0.000232144	0.001894318
6.345561598	0.012009088	0.001923172
6.36958078	0.003730021	0.001788938
6.393513581	-0.00088891	0.001639838
6.417532803	0.006572064	0.001671072
6.441551985	-0.001498853	0.001662149
6.465571207	0.015039294	0.001763409
6.489504008	0.006584968	0.001741812
6.51352319	-0.004517078	0.002067
6.537542412	0.003757805	0.001767636
6.561561593	-0.00253903	0.001685161
6.585494395	0.01056096	0.001721364
6.609513617	-0.006824	0.001770618
6.633532798	-0.0080926	0.001851568
6.65755198	-0.006052603	0.001833784
6.681571202	-0.00307225	0.001793077
6.705504003	-0.002048304	0.001734341
6.729523185	-0.014127603	0.001840262
6.753542407	-0.012004115	0.001807886
6.777561589	0.005616536	0.00177881
6.80149439	-0.009983415	0.001811718
6.825513612	0.007505701	0.001860549
6.849532793	-0.005383961	0.002161667
6.873552015	0.005823441	0.002196112
6.897484817	0.003660513	0.001838781
6.921503998	0.000153924	0.001816262
6.94552318	-0.011425247	0.001893264
6.969542402	-0.001903927	0.001919529
6.993475203	0.004556864	0.001830192
7.017494385	-0.007197694	0.001807111
7.041513607	-0.008804379	0.001831315
7.065532789	-0.003145878	0.001878913
7.08946559	0.009382664	0.001963217
7.113484812	-0.00710286	0.002000393
7.137503994	0.001932724	0.002090389
7.161523215	0.003755367	0.001810288
7.185456017	0.003729166	0.001789055
7.209475198	-0.007431337	0.001793195
7.23349438	-0.003130395	0.001736144
