ksec_since_BJD2459546.66221244_B	rel_flux_T1_d(mag)	_d(mag)
11.950898000	-0.006622409	0.001049114
11.987895000	-0.004301112	0.001046874
12.024904000	-0.002763593	0.001045393
12.061892000	-0.004291238	0.001046863
12.098902000	-0.001047547	0.001043742
12.135905000	-0.001826134	0.001044490
12.172900000	-0.005126543	0.001047667
12.209890000	-0.005426556	0.001047956
12.246896000	-0.008791634	0.001051207
12.283899000	-0.009253732	0.001051654
12.320900000	-0.010414427	0.001052778
12.357898000	-0.007742080	0.001050191
12.394896000	-0.007388920	0.001049849
12.431896000	-0.005793729	0.001048307
12.468895000	-0.001863083	0.001044520
12.505899000	0.000947791	0.001041820
12.542891000	0.002976690	0.001039876
12.579901000	-0.002526419	0.001045156
12.616894000	-0.004160862	0.001046730
12.653892000	-0.009088337	0.001051488
12.690894000	-0.006997835	0.001049465
12.727899000	-0.006206053	0.001048700
12.764894000	-0.001762170	0.001044418
12.801887000	-0.003342160	0.001056605
12.838902000	-0.005095584	0.001047626
12.875884000	-0.003845804	0.001046421
12.912888000	0.000907490	0.001041851
12.949886000	0.000034088	0.001042688
12.986894000	0.002064440	0.001040740
13.023886000	-0.006748299	0.001049217
13.060897000	-0.004812189	0.001047348
13.097889000	-0.006707350	0.001049176
13.134941000	-0.004301014	0.001046853
13.171893000	-0.005542448	0.001048049
13.208893000	-0.000675405	0.001043363
13.245891000	-0.002808870	0.001045413
13.282882000	-0.003503868	0.001046081
13.319883000	-0.002533551	0.001045146
13.356894000	-0.008429730	0.001050834
13.393884000	-0.009837124	0.001052195
13.430893000	-0.010182053	0.001052528
13.467897000	-0.006707308	0.001038465
13.504891000	-0.003809690	0.001046369
13.541893000	-0.000174290	0.001042872
13.578886000	-0.002285594	0.001044900
13.615876000	-0.007215662	0.001049652
13.652886000	-0.004690904	0.001047214
13.689880000	-0.000903487	0.001043568
13.726891000	-0.001021981	0.001043680
13.763895000	-0.001502876	0.001044141
13.800880000	-0.005680145	0.001048163
13.837878000	-0.008789150	0.001051166
13.874887000	-0.006667789	0.001049114
13.911882000	-0.003695768	0.001046246
13.948881000	-0.005033149	0.001047533
13.985877000	-0.002097635	0.001044705
14.022883000	0.000649094	0.001042065
14.059890000	0.002985548	0.001039825
14.096884000	-0.000290469	0.001042964
14.133881000	0.001367768	0.001041372
14.170890000	-0.005020695	0.001047513
14.207880000	-0.006349130	0.001048793
14.244872000	-0.005184260	0.001047667
14.281885000	-0.006973506	0.001049393
14.318876000	-0.006471721	0.001048907
14.355885000	-0.002294473	0.001044879
14.392882000	-0.004816510	0.001047307
14.429876000	0.003298659	0.001050112
14.466875000	-0.003430838	0.001045968
14.503871000	0.001032443	0.001041678
14.540872000	-0.004267539	0.001046771
14.577877000	-0.009056708	0.001051394
14.614879000	-0.005693335	0.001048142
14.651873000	-0.013416190	0.001055619
14.688870000	-0.009964150	0.001052268
14.725874000	-0.008806421	0.001051145
14.762879000	-0.006856980	0.001049258
14.799879000	-0.004173515	0.001046668
14.836867000	0.001834489	0.001040893
14.873868000	-0.001424024	0.001044018
14.910888000	-0.005045202	0.001047502
14.947876000	-0.005421536	0.001047864
14.984878000	-0.008573213	0.001050906
15.021872000	-0.005725145	0.001048153
15.058874000	-0.005566693	0.001047998
15.095874000	-0.004798710	0.001047255
15.132866000	-0.002003251	0.001044561
15.169870000	0.001295424	0.001041392
15.206899000	-0.000228089	0.001042852
15.243864000	-0.003354148	0.001045855
15.280873000	-0.002545167	0.001055733
15.317872000	-0.008720994	0.001051031
15.354875000	-0.007007776	0.001049372
15.391867000	-0.007470780	0.001049818
15.428867000	-0.008180641	0.001050502
15.465863000	-0.006864610	0.001049227
15.502872000	-0.005518102	0.001058613
15.539878000	-0.007672925	0.001060713
15.576875000	-0.006175591	0.001059250
15.613872000	-0.001669954	0.001054863
15.650875000	-0.004554477	0.001057665
15.687868000	-0.004749319	0.001057853
15.724869000	-0.011357226	0.001053560
15.761870000	-0.005920143	0.001058989
15.798866000	-0.008193852	0.001050491
15.835859000	-0.008593250	0.001050875
15.872864000	-0.002647126	0.001045136
15.909868000	-0.003781279	0.001046225
15.946861000	-0.005109108	0.001047502
15.983861000	0.001115656	0.001052137
16.020870000	-0.001804281	0.001044315
16.057859000	0.000121059	0.001053096
16.094865000	-0.005964853	0.001048318
16.131855000	-0.011030825	0.001053216
16.168863000	-0.009443381	0.001051675
16.205860000	-0.004796430	0.001057863
16.242860000	-0.006778793	0.001059793
16.279859000	-0.004417214	0.001046812
16.316862000	-0.005853033	0.001048194
16.353860000	-0.003728466	0.001046143
16.390854000	-0.005377320	0.001058415
16.427856000	-0.005198397	0.001058238
16.464867000	-0.003320723	0.001045742
16.501859000	-0.006638276	0.001048938
16.538856000	-0.006223694	0.001048535
16.575863000	-0.005927009	0.001048245
16.612858000	-0.005534145	0.001058551
16.649865000	-0.004136704	0.001057187
16.686855000	-0.000204573	0.001053364
16.723857000	-0.002136165	0.001055236
16.765865000	-0.003697793	0.001056750
16.802866000	-0.002420165	0.001055505
16.839857000	-0.000324002	0.001053467
16.876863000	-0.005920220	0.001058905
16.913854000	-0.005527574	0.001058520
16.950859000	-0.005958806	0.001058937
16.987850000	-0.005213233	0.001058207
17.024862000	-0.003699027	0.001056730
17.061859000	-0.004012101	0.001057031
17.098863000	-0.002339633	0.001055401
17.135865000	-0.001681937	0.001054759
17.172851000	-0.000864890	0.001053963
17.209851000	-0.003801378	0.001056813
17.246860000	-0.004499269	0.001057489
17.283853000	-0.008582122	0.001061467
17.320856000	-0.005522002	0.001058478
17.357858000	-0.005429276	0.001058384
17.394854000	-0.008185192	0.001061069
17.431855000	-0.004036174	0.001057021
17.468846000	-0.003196233	0.001056200
17.505863000	-0.002452968	0.001055474
17.542856000	-0.001358548	0.001054408
17.579852000	-0.000201395	0.001063915
17.616845000	-0.000407392	0.001064114
17.653849000	-0.004293355	0.001067923
17.690854000	-0.004425365	0.001068049
17.727848000	-0.004888765	0.001068501
17.764847000	-0.000167116	0.001063863
17.801841000	-0.002909909	0.001066549
17.838845000	-0.004857622	0.001068459
17.875855000	0.000236213	0.001063457
17.912844000	0.004914288	0.001058883
17.949849000	-0.002541603	0.001066172
17.986844000	-0.000680504	0.001064343
18.023850000	-0.003093812	0.001066706
18.060846000	-0.007846759	0.001060671
18.097840000	-0.007690084	0.001060514
18.134853000	-0.002999402	0.001066601
18.171848000	-0.003889635	0.001056802
18.208854000	0.001401185	0.001051663
18.245849000	-0.000081333	0.001053096
18.282847000	0.000765483	0.001062895
18.319844000	0.001324668	0.001062343
18.356840000	-0.004904576	0.001057770
18.393839000	-0.003456083	0.001067021
18.430842000	-0.012486600	0.001065170
18.467848000	-0.011501112	0.001064200
18.504849000	-0.006141436	0.001058958
18.541846000	-0.008878282	0.001061625
18.578842000	-0.008142745	0.001060902
18.615840000	-0.004967668	0.001057801
18.800838000	-0.004905244	0.001068396
18.837840000	-0.007907075	0.001060640
18.874847000	-0.009467156	0.001062160
18.911844000	-0.006941631	0.001059688
18.948845000	-0.002905912	0.001066413
18.985844000	-0.003850067	0.001067335
19.022831000	-0.003246433	0.001066738
19.059846000	-0.001502445	0.001065022
19.096832000	0.001663300	0.001061917
19.133830000	-0.003442714	0.001066916
19.170833000	-0.005231815	0.001057988
19.207835000	-0.008288351	0.001060964
19.244851000	-0.008529340	0.001061195
19.281844000	-0.000808280	0.001064312
19.318833000	-0.006728688	0.001059427
19.355839000	-0.007644302	0.001060315
19.392836000	-0.004460990	0.001057208
19.429828000	-0.000722591	0.001064207
19.466827000	-0.003606457	0.001067031
19.503834000	0.001181626	0.001062333
19.540840000	0.000857367	0.001062645
19.577838000	-0.009434884	0.001062034
19.614832000	-0.008957439	0.001072279
19.651830000	-0.014566670	0.001067052
19.688836000	-0.010320982	0.001062884
19.725837000	-0.008019555	0.001071338
19.762835000	-0.008904413	0.001061488
19.799838000	-0.005450607	0.001068796
19.836834000	-0.006408364	0.001059041
19.873825000	-0.001150440	0.001064562
19.910834000	-0.004495006	0.001067839
19.947838000	-0.007946357	0.001071232
19.984833000	-0.010237405	0.001073488
20.021850000	-0.006683341	0.001069976
20.058837000	-0.004956379	0.001068270
20.095825000	-0.007637569	0.001070904
20.132829000	-0.007889974	0.001071147
20.169835000	-0.006974712	0.001070239
20.206821000	-0.003709124	0.001067021
20.243828000	-0.007136720	0.001070387
20.280833000	0.002367955	0.001061056
20.317827000	-0.001700996	0.001065032
20.354835000	-0.002005576	0.001065325
20.391828000	-0.008490126	0.001071697
20.428833000	-0.008357011	0.001071560
20.465825000	-0.012563296	0.001075711
20.502829000	-0.006463020	0.001069680
20.539831000	-0.008386771	0.001071570
20.576830000	-0.005459617	0.001068680
20.613827000	-0.005722725	0.001068933
20.650829000	-0.005429833	0.001068638
20.687821000	-0.006506077	0.001069691
20.724827000	-0.005849341	0.001069038
20.761822000	-0.009788396	0.001072915
20.798828000	-0.008014622	0.001071158
20.835830000	-0.010929509	0.001074029
20.872816000	-0.012592364	0.001075668
20.909826000	-0.013072808	0.001076137
20.946824000	0.000306623	0.001073581
20.983814000	-0.001808008	0.001065022
21.020825000	-0.000036955	0.001063280
21.057821000	-0.004104608	0.001067262
21.094824000	-0.010011148	0.001073074
21.131821000	-0.012092264	0.001075125
21.168818000	-0.010809370	0.001073849
21.205824000	-0.012020518	0.001075040
21.242820000	-0.009352860	0.001083114
21.279822000	-0.007634089	0.001070693
21.316823000	-0.004154825	0.001077929
21.353832000	0.000504676	0.001073308
21.390814000	0.001028744	0.001072783
21.427814000	-0.005256047	0.001079001
21.464826000	-0.004035072	0.001077781
21.501819000	-0.002559617	0.001076311
21.538813000	-0.009101210	0.001072089
21.575811000	-0.006109674	0.001079819
21.649817000	0.000571642	0.001073182
21.686816000	-0.001788114	0.001075508
21.723807000	-0.001050444	0.001074770
21.760816000	0.000282293	0.001073445
21.797812000	-0.001151470	0.001074855
21.834811000	-0.001127531	0.001085460
21.871816000	-0.004644138	0.001078300
21.908807000	-0.008944013	0.001082569
21.945816000	-0.014489048	0.001088101
21.982821000	-0.016773947	0.001090384
22.019806000	-0.008646976	0.001082248
22.056807000	-0.009760085	0.001083350
22.093814000	-0.012261047	0.001085838
22.130808000	-0.009165354	0.001082740
22.167813000	-0.001649188	0.001075266
22.204819000	0.000353542	0.001083898
22.241805000	-0.000516560	0.001084758
22.278815000	-0.007774045	0.001081320
22.315804000	-0.007836303	0.001081373
24.207786000	-0.007595910	0.001101993
24.244800000	-0.012048895	0.001106507
24.281789000	-0.012104267	0.001106551
24.318789000	-0.007461789	0.001101820
24.355800000	-0.005752573	0.001100075
24.392787000	0.000510527	0.001104351
24.429788000	-0.003216373	0.001108133
24.466793000	-0.003218526	0.001108123
24.503783000	-0.010054192	0.001115104
24.540791000	-0.005795261	0.001110728
24.577793000	-0.021695875	0.001116260
24.614790000	-0.023803771	0.001118415
24.651785000	-0.007246182	0.001112172
24.688783000	-0.007420042	0.001112336
24.725790000	-0.003321398	0.001108133
24.762794000	-0.000875141	0.001105627
24.799786000	-0.001346241	0.001106093
24.836789000	-0.002413943	0.001107166
24.873789000	-0.004549444	0.001109331
24.910785000	0.000472828	0.001114812
24.947781000	-0.009883704	0.001114763
24.984787000	-0.015833893	0.001120871
25.021783000	-0.008475945	0.001113290
25.058789000	-0.000274582	0.001115521
25.095792000	-0.001171620	0.001116427
25.132779000	-0.003124016	0.001118421
25.169784000	-0.002286421	0.001117544
25.206788000	-0.006686650	0.001122064
25.243784000	0.001319763	0.001135014
25.280783000	-0.001564533	0.001138016
25.317783000	-0.006154313	0.001142818
25.354787000	-0.002744636	0.001149862
25.391785000	-0.010725186	0.001136885
25.428782000	-0.006755987	0.001132723
25.465784000	-0.008954782	0.001145704
25.502789000	-0.004192150	0.001172640
25.539787000	-0.005008136	0.001162841
25.576787000	-0.005013312	0.001162830
