Kilo_Seconds_B	rel_flux_T1(mag)	rel_flux_err_T1(mag)
10.529568	-0.002277	0.00163
10.561622	-0.000681	0.001631
10.59359	-0.001432	0.001632
10.625558	-0.008377	0.00164
10.657613	-0.012821	0.001872
10.689581	-0.017186	0.001872
10.721549	-0.007286	0.001891
10.753603	-0.001001	0.001868
10.785571	-0.005949	0.001866
10.817539	-0.008708	0.001873
10.849594	-0.003788	0.001873
10.881562	-0.0089	0.00189
10.913616	-0.013185	0.001878
10.945584	-0.018836	0.00188
10.977552	-0.008528	0.001744
11.009606	-0.005291	0.001644
11.041574	-0.005703	0.001641
11.073542	-0.004134	0.001644
11.105597	-0.000008	0.001641
11.137565	0.000551	0.001641
11.169533	-0.002233	0.001646
11.201587	0.000633	0.00164
11.233555	0.002483	0.001641
11.265523	-0.00368	0.001647
11.297578	-0.001698	0.001641
11.329546	0.004508	0.001642
11.3616	0.002898	0.001641
11.393568	0.001913	0.001645
11.425536	-0.002077	0.001648
11.45759	-0.005662	0.001649
11.489558	-0.003808	0.001642
11.521526	-0.000662	0.001642
11.553581	0.006175	0.001637
11.585549	0.004702	0.001641
11.617517	0.005066	0.001641
11.649571	0.012019	0.001639
11.681539	0.001716	0.001643
11.713594	0.00417	0.001642
11.745562	0.008705	0.001639
11.77753	0.003233	0.001641
11.809584	-0.002249	0.001647
11.841552	-0.002566	0.001647
11.87352	-0.003056	0.001646
11.906525	0.002126	0.001643
11.938579	-0.003405	0.001642
11.970547	0.000135	0.001644
12.002515	0.000622	0.001644
12.03457	0.00313	0.001646
12.066538	0.004498	0.00164
12.098506	0.001273	0.001645
12.13056	0.00304	0.001641
12.162528	0.002547	0.001643
12.194496	-0.0006	0.001643
12.22655	-0.003763	0.001646
12.258518	-0.006158	0.001643
12.290486	0.001901	0.001647
12.322541	-0.002838	0.001646
12.354509	-0.000444	0.001641
12.386563	0.007276	0.001642
12.418531	-0.002787	0.001648
12.451536	0.005469	0.001643
12.483504	0.003289	0.001647
12.515558	0.006625	0.001644
12.547526	-0.000737	0.001644
12.579494	-0.00537	0.001647
12.611549	-0.001172	0.001648
12.643517	-0.004701	0.001648
12.674534	-0.005735	0.001649
12.706502	0.001337	0.001645
12.738557	-0.001658	0.00165
12.770525	0.002011	0.001653
12.802493	-0.001486	0.001647
12.834461	-0.003312	0.001651
12.866515	0.000522	0.001651
12.898483	-0.003779	0.001644
12.930538	-0.002869	0.001649
12.962506	-0.0067	0.001649
12.994474	-0.006877	0.001654
13.026528	-0.011347	0.001649
13.058496	-0.002388	0.001653
13.090464	-0.002458	0.001648
13.122518	-0.001632	0.001649
13.154486	-0.002851	0.001657
13.186541	0.004538	0.00165
13.218509	-0.001665	0.00165
13.250477	-0.007477	0.001651
13.282445	-0.006478	0.001652
13.314499	-0.007738	0.00165
13.346467	-0.006178	0.001656
13.378522	-0.012581	0.001654
13.411526	-0.005429	0.001655
13.443494	-0.00123	0.001658
13.475462	-0.004286	0.001656
13.507517	-0.002284	0.001654
13.539485	-0.001869	0.001654
13.571453	-0.000608	0.00166
13.603507	-0.00477	0.001654
13.635475	-0.002009	0.001665
13.667443	-0.003148	0.001662
13.699498	-0.005321	0.001662
13.731466	-0.006714	0.00166
13.763434	-0.013463	0.001661
13.795488	-0.013444	0.001658
13.827456	-0.002708	0.001657
13.85951	-0.005745	0.001659
13.891478	-0.001032	0.001652
13.923446	-0.007971	0.001651
13.955501	-0.003128	0.00166
13.987469	-0.001883	0.001661
14.019437	-0.00835	0.001659
14.051491	-0.012974	0.001661
14.083459	-0.007502	0.001663
14.115427	-0.006624	0.001662
14.147482	-0.00948	0.001665
14.17945	-0.005503	0.001662
14.211418	-0.013697	0.001666
14.243472	-0.007607	0.001663
14.27544	-0.00717	0.001661
14.307408	-0.005192	0.001661
14.339462	-0.00965	0.001659
14.37143	-0.001451	0.001663
14.403485	-0.013734	0.001668
14.435453	-0.006706	0.001664
14.467421	-0.010075	0.001668
14.499475	-0.006911	0.001666
14.531443	-0.005378	0.001666
14.563411	-0.0034	0.001666
14.595466	-0.003029	0.00166
14.627434	-0.006629	0.00167
14.659402	0.001627	0.001672
14.691456	-0.00364	0.001665
14.723424	0.009097	0.001665
14.755478	-0.000588	0.001671
14.787446	-0.000959	0.00167
14.819414	0.000824	0.001668
14.851469	-0.007124	0.001667
14.883437	-0.013483	0.001665
14.915405	-0.015836	0.001665
14.947459	0.000816	0.001665
14.979427	-0.002622	0.001668
15.011395	0.000622	0.001664
15.04345	-0.005207	0.001668
15.075418	-0.006195	0.001669
15.107386	0.001025	0.001673
15.13944	0.001273	0.001674
15.171408	-0.001851	0.001666
15.203462	0.00056	0.001671
15.23543	-0.002422	0.001669
15.267398	-0.004355	0.001671
15.299453	-0.007699	0.001675
15.331421	-0.002498	0.001673
15.363389	-0.004381	0.001678
15.395443	0.001664	0.001678
15.427411	-0.002015	0.001677
15.459379	0.00351	0.001679
15.491434	0.000894	0.001666
15.523402	0.001995	0.001668
15.55537	0.004453	0.001677
15.587424	-0.00304	0.001676
15.619392	-0.00189	0.001677
15.65136	-0.013089	0.001682
15.683414	-0.009156	0.001683
15.715382	-0.00528	0.001688
15.747437	-0.004098	0.001688
