ksec_since_2459582.59917451_B	rel_flux_T1_d(mag)	rel_flux_err_T1_d(mag)
15.9299663	0.033865427	0.001175249
15.96596397	0.019938029	0.001174785
16.00195304	0.02208823	0.001175715
16.03796024	0.025208714	0.001177057
16.07395361	-0.004260227	0.001175748
16.10993921	0.001447738	0.001175659
16.14594381	-0.000906687	0.001177156
16.18195363	0.035350564	0.001179736
16.21793577	0.002354145	0.001176288
16.25393779	0.04731106	0.00117881
16.28994238	0.00181099	0.001176202
16.32593317	0.016258307	0.001175148
16.36194123	-0.04276335	0.001174498
16.39792856	0.007065481	0.00117422
16.4339418	0.002702832	0.001174289
16.46993086	-0.02097013	0.001173041
16.50592166	-0.017804679	0.001173697
16.5419176	-0.014150016	0.001177998
16.57791962	-0.022895026	0.001177122
16.61391733	-0.014362381	0.001173978
16.65090948	-0.01108939	0.001175465
16.68690458	-0.018733856	0.001173797
16.72291094	0.008691246	0.001175602
16.758919	-0.008822553	0.001174226
16.79490025	-0.011568158	0.001177115
16.83190713	0.006306847	0.001175263
16.86789962	0.018232938	0.001178039
16.90389817	0.013497017	0.00117917
16.93990108	-0.036736251	0.001176168
16.97589014	-0.028651907	0.001177394
17.01289525	-0.030657839	0.001179049
17.04889035	-0.031792212	0.001176436
17.08488806	0.009530052	0.001179742
17.12088054	-0.011513648	0.001177765
17.15688429	0.011535924	0.001177452
17.19288804	-0.015245505	0.001175493
17.22888575	0.00515612	0.001177234
17.26487827	0.006870821	0.001178176
17.30088113	0.02584536	0.001180692
17.33686674	0.029079267	0.001181208
17.37286875	-0.004815262	0.001177903
17.40886474	0.02702349	0.001180828
17.44486844	0.008990299	0.001179429
17.48086531	-0.008575719	0.001177975
17.51684745	0.010273076	0.001178923
17.55285032	0.011491652	0.001179053
17.58885318	-0.011710895	0.001179011
17.62485866	0.034733519	0.001184896
17.66088574	0.015215207	0.001185682
17.69684628	0.010466639	0.001186976
17.73285002	-0.021355025	0.001187582
17.76883993	-0.022502292	0.001187463
17.80484022	0.013897315	0.001182569
17.84083363	-0.024104934	0.001183122
17.87684168	0.017592937	0.001182834
17.91283332	-0.02483812	0.001182805
17.94883014	-4.00177E-05	0.001183876
17.9848287	0.011074555	0.001184208
18.02082295	-0.028076127	0.001189537
18.05682324	0.022403876	0.001187606
18.09281922	-0.015581586	0.001186123
18.12980876	0.039847446	0.001186918
18.16581686	0.026521678	0.001184758
18.20181541	0.000777297	0.001186056
18.23781655	-0.016646166	0.001188518
18.27380991	-0.017105162	0.001186408
18.31081245	-0.003753271	0.00118675
18.3468024	0.020399987	0.001186523
18.38280268	0.00599971	0.00118624
18.41879778	0.018736177	0.001184728
18.45479891	0.008347202	0.001187517
18.49180145	0.020894524	0.001188466
18.52779916	-0.009268747	0.00118536
18.56379683	0.007332838	0.001185069
18.59977813	0.01433365	0.001186525
18.63579222	0.011284879	0.001187142
18.67278614	0.008831568	0.001186448
18.70879074	0.048505441	0.001190363
18.74478326	0.031906922	0.001187646
18.78078182	0.01903243	0.001186817
18.81677603	0.007704559	0.001187883
18.85377164	0.029623561	0.001191493
18.88975813	0.044166974	0.001191407
18.92577568	0.023674872	0.001190458
18.96176909	0.020141442	0.001190923
18.99775811	0.018451178	0.001188701
19.03475288	0.051370616	0.001191103
19.07075663	0.031404118	0.001190183
19.10675519	0.027456293	0.001190584
19.14275547	0.024204211	0.001190746
19.17874454	0.050715933	0.001192084
19.21574273	0.027369787	0.001194152
19.25174217	-0.008897466	0.00119212
19.2877433	-0.007588743	0.001192103
19.32374447	-0.050068363	0.001210812
19.35974388	-0.018989157	0.001208547
19.39673346	-0.024175673	0.001208991
19.43273028	-0.034357445	0.001205882
19.46872454	-0.023770377	0.00120794
19.50472828	-0.035227648	0.001207837
19.54071904	-0.033694084	0.001207065
19.57771381	-0.028975069	0.001209001
19.61372013	-0.041398488	0.001211727
19.64972476	-0.038029195	0.001211161
