Kilo-Sec_B	rel_flux_T1_d(mag)	rel_flux_err_T1_d(mag)
13.148093	-0.009978	0.000554
13.175136	0.012201	0.000555
13.202093	0.004296	0.000553
13.229136	0.025454	0.000557
13.256093	-0.037707	0.000556
13.283136	0.021125	0.000554
13.310093	0.02	0.000553
13.337136	0.037978	0.000557
13.364093	0.01885	0.000555
13.391136	-0.01157	0.000553
13.418093	-0.013608	0.000553
13.445136	-0.036145	0.000553
13.472093	-0.033189	0.000555
13.49905	-0.031977	0.000554
13.526093	-0.034035	0.000555
13.55305	0.022977	0.000555
13.580093	-0.017136	0.000553
13.60705	0.004215	0.000552
13.634093	-0.068594	0.000556
13.66105	-0.054052	0.000557
13.688093	0.000135	0.000553
13.71505	0.031937	0.000552
13.742093	-0.005638	0.000552
13.76905	-0.037276	0.000553
13.796093	-0.010895	0.000551
13.82305	-0.044689	0.000554
13.850093	0.020278	0.000556
13.87705	-0.036196	0.000554
13.904093	-0.055781	0.000555
13.93105	-0.026826	0.000554
13.958093	-0.036146	0.000555
13.98505	0.000459	0.000552
14.012093	-0.061867	0.000556
14.03905	-0.071425	0.000555
14.066093	-0.024102	0.000553
14.09305	0.055221	0.000563
14.120093	-0.019475	0.000556
14.14705	0.007018	0.000552
14.174093	-0.102248	0.000559
14.20105	-0.011606	0.000555
14.228093	-0.08046	0.000556
14.25505	-0.005273	0.000557
14.282006	-0.038933	0.000558
14.30905	-0.069671	0.000557
14.336006	-0.030326	0.000555
14.36305	-0.040928	0.000555
14.390006	0.012758	0.000555
14.41705	-0.049213	0.000554
14.444006	-0.068798	0.000555
14.47105	0.01073	0.000552
14.498006	-0.019921	0.000553
14.52505	-0.029355	0.000555
14.552006	-0.068343	0.000555
14.57905	-0.021179	0.000553
14.606006	-0.00516	0.000553
14.63305	-0.034187	0.000558
14.660006	-0.053583	0.000555
14.68705	0.062863	0.000553
14.714006	0.024492	0.000553
14.740963	-0.02129	0.000557
14.768006	0.034334	0.000555
14.794963	0.000016	0.000557
14.822006	0.006513	0.000555
14.848963	0.067897	0.000555
14.876006	0.041842	0.000553
14.902963	0.003824	0.000553
14.930006	0.039379	0.000555
14.956963	0.016245	0.000556
14.984006	0.053978	0.000559
15.010963	0.058051	0.00056
15.038006	0.030335	0.000553
15.064963	0.038941	0.000553
15.092006	0.07678	0.000557
15.118963	0.079665	0.000554
15.146006	0.008516	0.000557
15.172963	0.012577	0.000554
15.200006	0.018776	0.000557
15.226963	0.051139	0.00056
15.254006	0.032834	0.000552
15.280963	0.033997	0.000552
15.308006	0.039271	0.000558
15.334963	0.067767	0.000554
15.362006	0.092814	0.000558
15.388963	0.120608	0.000565
15.416006	0.129133	0.000565
15.442963	0.10647	0.000567
15.46992	0.111012	0.000559
15.496963	0.119633	0.000568
15.524006	0.113404	0.000558
15.550963	0.072552	0.000557
15.57792	0.087759	0.000551
15.605914	0.130025	0.000564
15.632957	0.083805	0.000555
15.659914	0.109979	0.000558
15.686957	0.076198	0.000554
15.713914	0.115263	0.000559
15.740957	0.122813	0.000562
15.767914	0.127635	0.000563
15.794957	0.116242	0.000564
15.821914	0.105304	0.000563
15.848957	0.061418	0.000554
15.875914	0.071823	0.000554
15.902957	0.035883	0.000554
15.929914	0.048702	0.000554
15.956957	0.018449	0.000556
15.982963	0.103535	0.000561
16.00992	0.065386	0.000554
16.036963	0.041082	0.000554
16.06392	0.01257	0.000553
16.090877	0.054374	0.000559
16.11792	0.106024	0.000562
16.144877	0.057428	0.000555
16.17192	0.090122	0.000557
16.198877	0.064975	0.000554
16.22592	0.027238	0.000555
16.252877	0.000568	0.000556
16.27992	0.050963	0.000554
